memory,r_deg,i_deg,lag_depth,lead_depth,estimator_factory,score,n_coef,N
1,1,1,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9487492467007037,4,9674
1,1,1,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9487492479770608,4,9674
1,1,1,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9487492607696723,4,9674
1,1,1,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9487493915974554,4,9674
1,1,1,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9487509878450535,4,9674
1,1,1,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9487744711518512,4,9673
1,1,1,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9487744724222994,4,9673
1,1,1,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9487744851558236,4,9673
1,1,1,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9487746153932183,4,9673
1,1,1,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9487762057844006,4,9673
1,1,1,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9487995435449135,4,9672
1,1,1,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9487995448095374,4,9672
1,1,1,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9487995574848331,4,9672
1,1,1,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9487996871404013,4,9672
1,1,1,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488012717588624,4,9672
1,1,1,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488227963007108,4,9671
1,1,1,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488227975597271,4,9671
1,1,1,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488228101789492,4,9671
1,1,1,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.948822939274224,4,9671
1,1,1,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488245183344962,4,9671
1,1,1,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488471712014003,4,9670
1,1,1,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488471724559979,4,9670
