memory,r_deg,i_deg,score,n_coef,N
1,1,1,0.9486896021197211,4,9676
1,1,2,0.8204672274738551,6,9676
1,1,3,0.8108712563544244,8,9676
1,1,4,0.8059804448733163,10,9676
1,1,5,0.8059563517800609,12,9676
1,1,6,0.8057214531307884,14,9676
1,1,7,0.8056663850073968,16,9676
1,1,8,0.8055420443675536,18,9676
1,1,9,0.8044311623785454,20,9676
1,1,10,0.8041344602623833,22,9676
1,1,11,0.7985061291378259,24,9676
1,1,12,0.7947996919276741,26,9676
1,1,13,0.7899345974334209,28,9676
1,1,14,0.7854853309284332,30,9676
1,1,15,0.7835621280022328,32,9676
1,2,1,0.8210061558586913,6,9676
1,2,2,0.4534137867844733,8,9676
1,2,3,0.43770347406612103,10,9676
1,2,4,0.4334853057829089,12,9676
1,2,5,0.4329635937797434,14,9676
1,2,6,0.43237274630274775,16,9676
1,2,7,0.43226314490148093,18,9676
1,2,8,0.43213619255972757,20,9676
1,2,9,0.43087786484367946,22,9676
1,2,10,0.4301858584223721,24,9676
1,2,11,0.42656171120052044,26,9676
1,2,12,0.42635442882552926,28,9676
1,2,13,0.4248855499252031,30,9676
1,2,14,0.42474747014089964,32,9676
1,2,15,0.42292602122736794,34,9676
1,3,1,0.8112682527856706,8,9676
1,3,2,0.4375744839726852,10,9676
1,3,3,0.41822150156047927,12,9676
1,3,4,0.4086663839303495,14,9676
1,3,5,0.4083981934080385,16,9676
1,3,6,0.40805460665324894,18,9676
1,3,7,0.40780111333806046,20,9676
1,3,8,0.40768682327189765,22,9676
1,3,9,0.4064752075522168,24,9676
1,3,10,0.4059835734648801,26,9676
1,3,11,0.4031734013334089,28,9676
1,3,12,0.40312433750925286,30,9676
1,3,13,0.40125270113427464,32,9676
1,3,14,0.4012335190072222,34,9676
1,3,15,0.400894123155085,36,9676
1,4,1,0.8065771896612929,10,9676
1,4,2,0.4333403034785978,12,9676
1,4,3,0.4086320294971084,14,9676
1,4,4,0.39863606234910526,16,9676
1,4,5,0.3985351604428244,18,9676
1,4,6,0.39822394695092245,20,9676
1,4,7,0.3979986729145416,22,9676
1,4,8,0.3978632633870991,24,9676
1,4,9,0.39665983510418096,26,9676
1,4,10,0.3961457598614567,28,9676
1,4,11,0.3932825840312257,30,9676
1,4,12,0.3932785685352786,32,9676
1,4,13,0.391362039245791,34,9676
1,4,14,0.3913401221979409,36,9676
1,4,15,0.3910508683537401,38,9676
1,5,1,0.8065395850577447,12,9676
1,5,2,0.4327694877902206,14,9676
1,5,3,0.40841042342134903,16,9676
1,5,4,0.3985666514730053,18,9676
1,5,5,0.398445040175005,20,9676
1,5,6,0.3981339244246138,22,9676
1,5,7,0.39789425231673464,24,9676
1,5,8,0.3977493097202577,26,9676
1,5,9,0.39655082840023614,28,9676
1,5,10,0.396037215224741,30,9676
1,5,11,0.39316719984984777,32,9676
1,5,12,0.3931655517983884,34,9676
1,5,13,0.39125549517778974,36,9676
1,5,14,0.3912344327985496,38,9676
1,5,15,0.39093367540793966,40,9676
1,6,1,0.8063172233163485,14,9676
1,6,2,0.4320229126179182,16,9676
1,6,3,0.40796697684448363,18,9676
1,6,4,0.39817080011515094,20,9676
1,6,5,0.39804801588785704,22,9676
1,6,6,0.3977090168574973,24,9676
1,6,7,0.39746397736851985,26,9676
1,6,8,0.3973325708156964,28,9676
1,6,9,0.3961328849931428,30,9676
1,6,10,0.39559637325480457,32,9676
1,6,11,0.3926999466595302,34,9676
1,6,12,0.39269236591871515,36,9676
1,6,13,0.39077887813489176,38,9676
1,6,14,0.39075686942125165,40,9676
1,6,15,0.3904513259605682,42,9676
1,7,1,0.8062906540027075,16,9676
1,7,2,0.43199753585782563,18,9676
1,7,3,0.40782661528658176,20,9676
1,7,4,0.39806603242279787,22,9676
1,7,5,0.39793702276330883,24,9676
1,7,6,0.3975968167143822,26,9676
1,7,7,0.3973306034031127,28,9676
1,7,8,0.3971996191303742,30,9676
1,7,9,0.39603479109713063,32,9676
1,7,10,0.3954971614732083,34,9676
1,7,11,0.3925821320963486,36,9676
1,7,12,0.3925773661736822,38,9676
1,7,13,0.39065381386471804,40,9676
1,7,14,0.3906329556538782,42,9676
1,7,15,0.39033147530397105,44,9676
1,8,1,0.8062123529024898,18,9676
1,8,2,0.4319206785000227,20,9676
1,8,3,0.40776456452864185,22,9676
1,8,4,0.39797863871625083,24,9676
1,8,5,0.39784269079311163,26,9676
1,8,6,0.39751381232586264,28,9676
1,8,7,0.39724517779501667,30,9676
1,8,8,0.39710257078427885,32,9676
1,8,9,0.39589418282990396,34,9676
1,8,10,0.39538238368007966,36,9676
1,8,11,0.3924754808758017,38,9676
1,8,12,0.3924681780954379,40,9676
1,8,13,0.3905484940550655,42,9676
1,8,14,0.3905284769994389,44,9676
1,8,15,0.3902306184100749,46,9676
1,9,1,0.8052120833404768,20,9676
1,9,2,0.4309248725525009,22,9676
1,9,3,0.4067377837900723,24,9676
1,9,4,0.39695019221511346,26,9676
1,9,5,0.3968140410835801,28,9676
1,9,6,0.3964837173141367,30,9676
1,9,7,0.39624907965835954,32,9676
1,9,8,0.39605875143971203,34,9676
