memory,order_r,order_i,estimator_factory,score,n_coef,N
4,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.4734883046766943,130,9673
5,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.4521607518855655,418,9672
4,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.1999981688625644,306,9673
5,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.45727284263064744,110,9672
1,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.3898049092163333,29,9676
5,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.4557646633271275,110,9672
1,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.462322878207042,23,9676
1,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.45969734428779774,23,9676
5,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.24318460860504637,488,9672
4,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.18868101788315342,306,9673
5,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9489938745197825,12,9672
1,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.3683310919074305,34,9676
2,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.48367067195178504,22,9675
5,2,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.948393540776685,54,9672
5,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.4628630141307818,215,9672
3,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.198793757524685,194,9674
3,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.19879197441119706,159,9674
5,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.18991149658864415,544,9672
5,5,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.17268972187308607,922,9672
4,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.2972599846122671,256,9673
3,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.31836603893992976,139,9674
2,2,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9485466146734753,18,9675
5,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.45222712243735114,292,9672
1,2,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9486631277694797,10,9676
1,5,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.38978972561150155,34,9676
